Column1,Column2,Column3
AFMETCAL,Air Force Metology and Calibration,
AFMETCAL,Air Force Metrology and Calibration,
AFMETCAL,Air Force Metrology and Calibration Program Office,
AFNETOPS,Air Force Network Operations,
A.F.S.C.,American Friends Service Committee,
AF SOUTH,Allied Forces Southern Europe,
AFSPACECOM,Air Force Space Command,
AFSPACOM,Air Force Space Command,
A.G.B.U.,Armenian General Benevolent Union,
AGISCOUT,Associazione Giovani Scout,
A.H.S.B.O.,and Historic Sites Board of Ontario,
AIAS+WAC,American Insitute of Architecture Students WIT Chapter and Wentworth Architecture Club,
A.I.C.C.,All India Congress Committee,
A.I.C.T.E.,All India Council of Technical Education,
AIESEC UPD,AIESEC University of the Philippines-Diliman,
A.I.O.N.,Atti del III Colloquio Internazionale di Dialettologia Greca,
AIUFOFSR,Australian International UFO Flying Saucer Research,
ALC,Asynchronous Layered Coding,
ALLIANCE,Alliance of European Voluntary Service Organisations,
ALLIANCE,Alliance of Political Parties,
ALPHA-LA,Alliance to Preserve the History of WWII in Asia - Los Angeles,
A.L.P.O.,Association of Lunar and Planetary Observers,
ALTER-EU,Alliance for Lobbying Transparency and Ethics Regulation,
AMMS,Alcatel Micro Machining Systems,
A.M.S.A.,American Medallic Sculpture Association,
AMSAT-IN,AMSAT India,
A.M.S.S.,Associated Municipal Signal Services,
ANAK PAWIS,Anak Pawis,
ANCC,Armenian National Committee of Canada,
A.N.E.T.,A' Net Station,
ANSI-BSP,ANSI Biofuels Standards Panel,
ANSI-HSSP,ANSI Homeland Security Standards Panel,
ANSI-NSP,American National Standards Institute Nanotechnology Panel,
ANSI-NSP,American National Standards Institute-Nanotechnology Standards Panel,
A.P.A.C.,Athena Performing Arts Center,
APACHE II,Acute Physiology and Chronic Health Evaluation II,
AP,Advanced Placement Program,
AP-DATEX,Application Profile for DATEX-ASN,
APFSDS-T,Armor-Piercing Fin-Stabilized Discarding-Sabot Tracer,
APFSDS-T,Armor-Piercing Fin Stabilized Discarding Sabot with Tracer,
A.Q.M.G.,Assistant Quartermaster General,
ARADIKES,Aboriginal Association of Dikes,
A.R.C.E.,AGENZIA  RUMENA CONSERVAZIONE  DELL’ENERGIA,
ARCIC II,Anglican Roman Catholic International Commission,
A.R.C.M.,Associate of the Royal College of Music,
ARF-GEP100,ADP-Ribosylation Factor - Guanine nucleotide-Exchange Protein -  100-kDa,
ARFORGEN,Army Forces Generation,
ARGUS-IS,Autonomous Real-time Ground Ubiquitous Surveillance-Imaging System,
ARGUS-IS,Autonomous Real-Time Ground Ubiquitous Surveillance-Imaging System,
ARIB/TTC,Association of Radio Industries and Businesses/Telecommunication Technology Committee,
ARIGATOU!,Arigatou!,
ARIS PPM,ARIS Process Performance Manager,
ARLIS/NA,Art Libraries Society of North America,
ARMEDCOM,Army Reserve Medical Command,
A.R.R.C.,Associate of the Royal Red Cross,
A.R.S.R.,Algemene Rotterdamse Studenten Roeivereniging,
A.R.T./NY,Alliance of Resident Theatres/ New York,
A.S.A.P.,A Site About Props,
ASCATIDAR,Association of Cabildos and Traditional Indigenous Authorities of the Department of Arauca,
A.S.C.C.L.,Arabian Sea Country Club,
ASCILITE,Australasian Society for Computers in Learning in Tertiary Education,
ASCLD/LAB,American Society of Crime Laboratory Directors/Laboratory Accreditation Board,
A.S.C.S.,Associate of Science in Computer Science,
ASD-EATC,Aldersgate School of Divinity and Episcopal Area Training Center,
ASD(NII),Assistant Secretary of Defense for Network Integration and Infrastructure,
A.S.D.O.H.,Arizona School of Dentistry and Oral Health,
A.S.E.A.,American Society of Engineers and Architects,
ASEAN-ME,ASEAN-Mekong Basin Development Cooperation,
ASEAN-WEN,ASEAN Wildlife Law Enforcement Network,
ASFMRA,American Society of Farm Managers and Rural Appraisers Homepage,
A.S.I.A.,Asian Students in Action,
A.S.I.A.,Association of Stringed Instrument Artisans,
ASPA,Antarctic Specially Protected Area,
ASTEC PEL,Astec Power Electronics Laboratory,
AUSCDT FOUR,at HMAS Waterhen in New South Wales and Clearance Diving Team Four,
A.U.S.N.,Australian United Steamship Navigation Company,
A.U.S.R. ORCA,Algemene Utrechtse Studenten Roeivereniging ORCA,
AUSTRUMI,Austrum Latvijas Linukss,
A.V.I.S.,Andover Village Improvement Society,
A.V.U.H.S.D.,Antelope Valley Union High School District,
AWID,Association for Women's Rights in Development,
B.A.C.S.A.C.,Barnsdall Art Center Student Advisory Committee,
BALKAN NET,Balkan Bear Carnivores Conservation Network,
BALLSACK,Bicontenintal American League of Lagistics and Superimposed Analittical Cardiogenic Karyotypes,
BALTDEFCOL,Baltic Defence College,
B.A.M.A.,Boyz After Money Always,
BANCENTRO,Banco de Crédito Centroamericano,
BANINTER,Banco Intercontinental,
BANOBRAS,Banco Nacional de Obras y Servicios Públicos,
BANOBRAS,Bank of Public Works and Services,
B.A.R.F.,Bay Area Race Fantastique,
BBA-HRDM,Bachelor in Business Administration- Major in Human Resource Development Management,
B.C.I.T.,British Columbia Institute of Technology,
BCNHA,Bryce Canyon Natural History Association,
BEHEMOTH,Big Electronic Human-Energized Machine..Only Too Heavy,
BELLCORE,Bell Communications Research,
B.F.C.C.P.S.,Benjamin Franklin Classical Charter Public School,
B.F.C.C.P.S,Benjamin Franklin Classical Charter Public School,
BIMP-EAGA,Brunei-Indonesia-Malaysia-Philippines East Asean Growth Area,
BIMP-EAGA,Brunei-Indonesia-Malaysia-Philippines-East Asia Growth Area,
BIMP-EAGA,Brunei-Indonesia-Malaysia-Philippines East Asian Growth Area,
BIMP-EAGA,Brunei-Indonesia-Malaysia-Phlippines East ASEAN Growth Area,
B.I.N.S.,Birds of Ireland News Service,
B.I.O.L.A.,Bible Institute of Los Angeles,
BIP,British International Pictures Ltd,
B.I.R.P.,Blue Iguana Recovery Program,
B.L.E.E.P,Building Location and Emergency Expedition Platoon,
B.L.I.N.D.,Beautiful Love Incorporated Non Profit Development,
BLOHARDS,Benevolent Loyal Order of Honorable Ancient Redsox Diehard Sufferers,
BME,Brill Meets Evil,
BN,Brixton's,
B.N.G.E.,British North Greenland Expedition,
BRIC-III,Biological Research in Canister III,
B.R.I.D.G.E.S.,Building Roads Into Diverse Groups Empowering Students,
B.S.B.E.,Bachelor of Science in Biological Engineering,
B.S.F.C.S.,Bachelor of Science in Family and Consumer Sciences,
B.S.F.S.,Bachelor of Science in Foreign Service,
B.S.W.U.E,Beautiful Stories With Ugly Endings,
BTA MOGI,Bulgarian Trade Association of the Manufacturers and Operators in the Gaming Industry,
BT-BASIC,Board Test BASIC,
B.U.A.F.L.,British Universities American Football League,
BULPRISA,Bulacan Private School Association,
BULPRISA,Bulacan Private Schools Association,
B.U.M.S.,Bicycle United Motocross Society,
BUONANIMA,Buonanima - That Blessed Soul,
BV,Bureau Veritas,
BVITV-AP,Buena Vista International  Television-Asia  Pacific,
BVITV-AP,Buena Vista International Television-Asia Pacific,
CAATS II,Co-operative Approach to Air Traffic Services II Project,
CA,Conscientious Arsonists,
CADILLAC,Controlled Abciximab and Device Investigation to Lower Late Angioplasty Complications,
C.A.I.S.,Canadian Association of Independent Schools,
CA-JTFSWA,Canadian Joint Task Force South West Asia,
CALTRANS,California Department of Transportation,
CA-NA-DA,Canadians,
CAPETECH,Cape Coast Technical Institute,
CAPL-2/GBA,Capillary Pumped Loop-2/Gas Bridge Assembly,
C.A.R.D.,Coloradoans Against Resource Destruction,
C.A.R.E.,Citizens Against a Radioactive Environment,
CARHRIHL,Comprehensive Agreement on Respect for Human Rights and International Humanitarian Law,
C.A.R.S.,Collison Analysis and Reconstruction Section,
C.A.S.A.,Child Abuse and Sexual Assault Unit,
CASA/GAL,Court Appointed Special Advocate/Guardian Ad Litem,
CASA/SME,Computer and Automated Systems Association /Society for Manufacturing Engineers,
C.A.T.S.,Christian Artists Talent Search,
C.B.S.E.,Central Board of Secondary Education,
C.C.C.O.,Conscientious Objectors,
C.C.D.S.,Corpus Cultus Deae Syriae,
CCNY,City College of New York,
CCOMPOSA,Coordination Committee of Maoist Parties and Organization of South Asia,
CCOMPOSA,Coordination Committee of Maoist Parties and Organizations of South Asia,
CCT/CSAR,Combat Control Team/Combat Search And Rescue,
C.C.U.O.,Comité Clandestin de l'Union Occidentale,
CD26/DPP IV,CD26/dipeptidyl-peptidase IV,
CDC,Clark Development Company,
CDJ-1000,CDJ-1000MK2,
CDR-AAFC,Commander of the Australian Air Force Caders,
CDRCENTCOM,Commander Central Command,
C.D.S.M.,Customs and Excise Medal for Distinguished Service,
CDT LCPL,Cadet Lance Corporal,
CDT S/SGT,Cadet Staff Sergeant,
C.E.C.A.,Computer Applications,
CECOM LCMC,CECOM Life Cycle Management Command,
CEDAW SEAP,CEDAW Southeast Asia Programme,
CEDIME-SE,Center for Documentation and Information on Minorities in Europe - Southeast Europe,
CEFET-CE,Centro Federal de Educação Tecnológica do Ceará,
CEFET-GO,Centro Federal de Educação Tecnológica de Goiás,
CEFET-MA,Centro Federal de Educação Tecnológica do Maranhão,
CEFET-MG,Centro Federal de Ensino Tecnológico de Minas Gerais,
CEFET/PA,Centro Federal de Educação Tecnológica do Pará,
CEFET-PI,Centro Federal de Educação Tecnológica do Piauí,
CELLUCAM,Cellulose du Cameroun,
C.E.M.E.A.,Centers of Training to the Methods of Education Activities,
CEN/ISSS,Committee for Standardization/Information Society Standardisation System,
CEN/ISSS,Committee for Standardization / Information Society Standardization System,
CENTEPIS,Center for Technology Policy and International Studies,
CENTRASBAT,Central Asian Peacekeeping Battalion,
C.E.Z.M.,Church of England Zenana Missionary,
C.F.F.A.,Central Florida Fire Academy,
C.F.M.E.T.R.,Canadian Forces Maritime Experimental and Test Ranges,
C.F.M.S.A.,Catholic Foreign Mission Society of America,
CFMSS/CFDSS,Canadian Forces Medical Services School/Canadian Forces Dental Services School,
CFSEU-BC,Combined Forces Special Enforcement Unit BC,
C.G.A.V.A.D.,Companhia Geral da Agricultura das Vinhas do Alto Douro,
CHDIRAUX,Chief Director of the Auxiliary,
CHECMATE,Compact High Energy Capacitor Module Advanced Technology Experiment,
CHED-FDP,Commission on Higher Education Faculty Development Program,
C.H.E.W.,Center for Health Education and Wellness,
CHINAGBN,China Golden Bridge Network,
CHPC-SEM,Comprehensive Health Planning Council of Southeastern Michigan,
CHP/PCOR,Center for Health Policy/Primary Care and Outcome Research,
C.H.U.D.,Cannibalistic Humanoid Underground Dwellers,
C.I.C.M.,Congregation of the Immaculate Heart of Mary,
CICS ISC,CICS Intersystem Communications,
C.I.R.C.,Colaiste Iognaid Rowing Club,
C.I.S.A.A.,Conference of Independent Schools Athletic Association,
CIS,College in the Schools Program,
CJSOTF-AP,Combined Joint Special Operations Task Force-Arabian Peninsula,
C/JSOTF-N,Combined Joint Special Operations Task Force - North,
C/JTF-CM,Combined Joint Task Force Consequence Management,
CJTF-HOA,Combined Joint Task Force - Horn of Africa,
CJTF-HOA,Combined Joint Task Force Horn of Africa,
CJTF-HOA,Combined Joint Task Force-Horn of Africa,
CJTF-HOA,Combined Joint Task Force Horn Of Africa,
CLE.VE.R,Clean Vehicle Research Institute,
CLOUDS 1-A,Cloud Logic to Optimize the Use of Defense Systems-1A,
CLOUDS-I,Cloud Logic to Optimize Use of Defense Systems-IA,
C.L.S.C.,Chautauqua Literary and Scientific Circle,
CMMI-ACQ,CMMI for Acquisition,
CMMI-DEV,CMMI for Development,
C.M.S.M.,Customs and Excise Medal for Meritorious Service,
CNA/NNOC,California Nurses Association/National Nurses Organizing Committee,
CNDD- FDD,Council for the Defense of Democracy-Forces for the Defense of Democracy,
CNDD-FDD,Council for the Defense of Democracy -  Forces for the Defense of Democracy,
CNDD-FDD,Council for the Defense of Democracy-Forces for the Defense of Democracy,
CNDD/FDD,Council for the Defense of Democracy-Forces for the Defense of Democracy,
C.N.D.P.S,Collège Notre-Dame du Perpétuel Secours,
C.N.P.D.,Cautese Nationál Postal Disservice,
C.O.G.I.C,Church Of God In Christ,
COHO*NOMS,Coho Elementary / New Options Middle School,
COMSTECH,Committee of Scientific and Technological Co-operation,
COMSTECH,Committee on Scientific and Technological Cooperation,
COMSTECH,Committee on Scientific and Technological Co-operation,
COMSUBLANT,Commander Submarines Atlantic Fleet,
COMSUBPAC,Commander Submarines Pacfific Fleet,
COMUSEUCOM,Commander of the United States European Command,
COMUSMACV,Commander of US Military Assistance Command Vietnam,
CONACULTA,Consejo Nacional para la Cultura y las Artes,
CONADEPRE,Comisión Nacional de Deportes Recreativos de El Salvador,
CONAFLOR,Comissão Nacional de Florestas,
CON-E-CO,Concrete Equipment Company,
CONELRAD,Control of Electromagnetic Radiation,
CONENHUA,Consorcio Energético Huancavelica,
CONFAGRI,Confederaçao Nacional de Cooperativas Agricolas & Crédito,
CONFECOOP,Confederación de Cooperativas de Colombia,
CONFECOOP,Confederation of Portuguese Co-operatives,
CONFENIAE,Confederation of Indigenous Nationalities of the Ecuadoran Amazon,
CONFENIAE,Confederation of Indigenous Nationalities of the Ecuadorian Amazonia,
CONFESAL,Confederación Empresarial de Sociedades Laborales de España,
CONMEBOL,Confederación Sudamericana de Fútbol,
CONPACOOP,Confederación Paraguaya de Cooperativas,
CONTINUA,Continuing Education,
C.O.O.L.,Campus Outreach Opportunity League,
COOPERAR,Cooperativa de la Republica Argentina,
COOPEUCH,Cooperativa del Personal de la Universidad de Chile Ltda,
COOPNATCCO,COOP-NATCCO Network Party,
CORTRAMID,Career Orientation and Training of Midshipmen,
COSTFORD,Center Of Science and Technology For Rural Development,
C.O.T.C.,Canadian Officers Training Corps,
COVACASA,Complejo Vacasional,
CPG,College of Pharmacy–Glendale,
CRC,Cuban Revolutionary Council,
C.R.H.S.,Coginchaug Regional High School,
CSIR-SAC,CSIR's Satellite Application Centre,
CSMA/NDA,Carrier Sense Multiple Access with Non-Destructive Arbitration,
CSRT,Combatant Status Review Tribunal,
C.T.H.S.,Canadian Thoroughbred Horse Society,
CUNY DRC,City University of New York Dispute Resolution Consortium,
CUNY DRC,CUNY Dispute Resolution Consortium at John Jay College of Criminal Justice,
CUNY DSI,CUNY Dominican Studies Institute,
C.U.R.C.,Cambridge University Railway Club,
DAC/OECD,Development Assistance Committee of the Organization for Economic Cooperation and Development,
DACOWITS,Defense Advisory Committee on Women in the Military Services,
DACOWITS,Defense Advisory Committee on Women in the Services,
DACOWITS,Department Advisory Committee on Women in the Services,
D.A.O.M.,Doctor of Acupuncture & Oriental Medicine,
DCI RSMS,Defence College of Intelligence Royal School of Military Survey,
DEIS/EIR,Draft Environmental Impact Statement/Environmental Impact Report,
DE-LONGA,De Long Islands,
DENR-EMB,DENR Environment Management Bureau,
DIC,Dubai Internet City,
DISN-LES,DISN Leading Edge Services,
D.I.T.C.,Diggin' in the Crates Crew,
DI/TII/NII,Darul Islam/Tentara Islam Indonesia/Negara Islam Indonesia,
DNL,Det Norske Luftfartsselskap,
DOI-CODI,de Operações Internas-Centro de Operações de Defesa Interna,
D.O.V.E.,Development of Vietnam Endeavors,
DRAMBORA,Digital Repository Audit Method Based on Risk Assessment,
DRAM/DNCE,Drama and Dance,
DSI/JTIC,Directorate of Scientific Intelligence/Joint Technical Intelligence Committee,
DVD FLLC,DVD Format and Logo Licensing Corporation,
D.Y.S.S.A.A.,Durham-York Secondary Schools Athletic Association,
EAC,East African Community,
EAI,Electronic Arts Intermix,
ECPAT,End Child Prostitution And Trafficking,
EFI,Equestrian Federation of Ireland,
EHP,Every Home Plan,
E.I.S.M.,Eastern Independent Schools of Melbourne,
EMERGCON,Emergency Condition,
ENA FLEG,Europe and North Asia Forest Law Enforcement and Governance,
ESAR-VHP,Emergency System for Advance Registration of Volunteer Health Professionals,
ESPN UBO,ESPN Ultimate Baseball Online,
EU-MEFTA,Euro-Mediterranean Free Trade Area,
EUMETSAT,European Organisation for the Exploitation of Meteorological Satellites,
EW,Edgware,
F.A.C.E.,for the Advancement of Chiropractic Education,
F.A.C.E.S.,Facts on Alcohol Awareness,
F.A.C.E.S.,Fine Arts Core Elementary School,
F.A.C.T.,Free Army of Counter-Terrorism,
F.A.C.T.S.,Forensic Anthropology Center at Texas State,
FAI,Fédération Aéronautique Internationale,
FBLA-PBL,Future Business Leaders of America-Phi Beta Lambda,
FCA,Fellowship of Christian Anybodies,
FCMG,Finchley Children’s Music Group,
FEWS NET,Famine Early Warning Systems Network,
FEWS-NET,Famine Early Warning Systems Network,
FIA WTCC,FIA World Touring Car Championships,
F.I.C.C.,Federation Internationale des Cine-Clubs,
F.I.E.R.,Fédération Internationale des Enseignants de Rythmique,
FINNFUND,Finnish Fund for Industrial Cooperation Ltd,
FINRRAGE,Feminist International Network of Resistance to Reproductive and Genetic Engineering,
FIOD-ECD,Fiscale Inlichtingen- en Opsporingsdienst-Economische Controledienst,
F.N.G.I.,Federation of Gymnastics,
FNSPE CTU,Faculty of Nuclear Sciences and Physical Engineering  CTU,
FOAOTMAD,Friends of American Old-Time Music and Dance,
FOBISSEA,Federation of British International Schools in South and East Asia,
FOBISSEA,Federation of British International Schools in South and Southeast Asia,
FOBISSEA,Federation of British International Schools in South East Asia,
FOBISSEA,Federation of British International Schools in South-East Asia,
FOBISSEA,Federation Of British International Schools in South East Asia and East Asia,
FOBISSEA,Federation of British International Schools of South East Asia and East Asia,
F.O.C.U.S,for Campus Unity & Solidarity,
FOEI BGM,Friends of the Earth International Biannual General Meeting,
F.O.G.A.,Fairholme Old Girls' Association,
F.O.R.C.E.,Facing Our Risk of Cancer Empowered,
F.O.R.C.E,For Obvious Reasons Concerning Entertainment,
FORPRONU,Force de Protection des Nations Unies,
F.O.X.E.,Fans of X-Rated Entertainment,
F.R.C.I.,Fellow of Royal Colonial Institute,
FREE LAVA,Free Legal Assistance Volunteers' Association,
FR:EE-LMBS,Flex Range Element Enhanced Linear Motion Battle System,
FRETILIN,Frente Revolucionária de Timor-Leste Independente,
F.R.G.S.,Fellow of Royal Geographical Society,
F.R.G.S.,Fellow of the Royal Geographical Society,
F.R.G.S.,Fellow of the Royal Geographic Society,
FRNSTP-R,Front of São Tomé and Príncipe-Renewal,
FROLINAT,Front de Libération Nationale du Tchad,
FRSO/OSCL,Freedom Road Socialist Organization / Organización Socialista del Camino para la Libertad,
FSE/FRAM,Flight Support Equipment/Flight Releasable Attach Mechanism,
FSLIC/RTC,Federal Savings and Loan Insurance Corporation and Resolution Trust Corporation,
F.T.B.O.A.,Florida Thoroughbred Breeders' and Owners' Association,
FUNDAPAT,Fundación Agua para Todos,
FUNDASAB,Foundation for the Support to Sustainable Basic Sanitation,
FUNDEPAR,Fundação Educacional do Paraná,
FUNDESNAP,Fundación para el Desarrollo del Sistema Nacional de Áreas Protegidas,
FUNDETIC,Fundación Nacional para el Desarrollo de las Tecnologías de Información y Comunicación,
FUNGLODE,Fundacion Global Democracia y Desarrollo,
FUNGLODE,Fundación Global Desarollo y Democracia,
FUNREDES,Fundación-Redes-y-Desarrollo,
F.U.T.C.,Fisherman's Union Trading Company,
F.Y.R.O.M.,Former Yugoslav Republic of Macedonia,
GABRIELA,Gabriela Women’s Party,
GAD-APDC,Gaining Ground Asia Pacific Development Centre - Gender and Development Programme,
G.A.I.S.F,General Association of International Sports Federation,
GALK,Galactokinase,
G.A.N.G.,Game Audio Network Guild,
G.A.T.B.,General Aptitude Test Battery,
G.A.T.E.,Gifted and Talented Education,
GA: TRODA,Golden Axe: The Revenge of Death Adder,
GBC,Global Business Coalition on HIV/AIDS,
G.B.S.S.A.A.,Georgian Bay Secondary Schools Athletic Association,
GCCS-AF I,GCCS-AF Infrastructure,
G.C.L.M.,Grand Commander of the Legion of Merit,
G.C.M.G.,Grand Cross of St Michael and St George,
G.C.S.I.,Grand Cross of the Star of India,
GDP,Gross Domestic Product,
GEF IWRC,GEF International Waters Resource Centre,
G.E.I.T.,Graphic Era Institute of Technology,
GEPSULTRA,Gereja Protestan di Sulawesi Tenggara,
GERD-HRQL,Gastroesophageal Reflux Disease-Health Related Quality Of Life,
GHQ,General Headquarters,
GIS_RD_05-72,GIS Resource Document 05-72,
GNT-MCLA,Guntur to Macherla,
GNU LGPL,GNU Lesser General Public License,
G.O.A.L.,Gift of Advanced Learning,
G.O.L.D.,Growth Opportunity in Leadership Development,
G.O.O.D.,Get Out of Dodge,
G.O.O.S.E,Glass Odyssey Organized Society for Enrichment,
G.O.T.M.I.L.K.!,Golden Opportunity Toward Music Increasing Literacy in Kids,
G.O.U.S.,Grand Orient of the United States,
G.O.Z.L.,Gezondheidszorg Oostelijk Zuid-Limburg,
GPB,Georgia Public Broadcasting,
GRABAAWR,Great Annual Bicycle Adventure Along the Wisconsin River,
GRAMMY U,GRAMMY University Network,
G.R.A.W.,Ghost Recon Advanced Warfighter,
GREN GDS,Grenadier Guards,
GROOVE WALK,Groove Walk,
G.R.O.W.,Gay Revolution of Women Newsletter,
GRUPO ERTA,Grupo de Operaciones Especiales de la Policia de Investigaciones de Chile,
G.S.A.V.E,Global Struggle Against Violent Extremism,
GSDCA-WDA,German Shepherd Dog Club of America-Working Dog Association,
GSLV-I/II,Geosynchronous Satellite Launch Vehicle Mark I/II,
GSLV-III,Geosynchronous Satellite Launch Vehicle Mark III,
GSP FORMOZA,Grupa Specjalna Płetwonurków FORMOZA,
GSTAMIDS,Ground Standoff Mine Detection System,
GTA: LCS,Grand Theft Auto: Liberty City Stories,
G.T.B.N.,Guru Tegh Bahadur Nagar,
G.W.O.T.,Global War On Terror,
GWR/LNWR,Great Western and London and North Western Railways,
HABS/HAER,Historic American Buildings Survey/Historic American Engineering Record,
HAIPE-IS,High Assurance Internet Protocol Interoperability Encryption- Interoperability Specification,
HARDIKNAS,Hari Pendidikan Nasional,
H.A.R.T.,Holderness Area Rural Transport,
HARYOU-ACT,Harlem Youth Opportunities Unlimited and Associated Community Teams,
H.A.T.E.,Highest Anti-Terrorism Effort,
H.A.T.E.,Highest Anti Terrorist Effort,
H.A.T.E.,Hostile Alien Terrain Encounter,
HATWING TWO,Heavy Attack Wing TWO,
H.A.W.S.,High Arctic Weather Station,
HAZWOPER,HAZ-ardous W-aste OP-erations and E-mergency R-esponse,
HBIGDA-SOC,Harry Benjamin International Gender Dysphoria Association,
HDYSAPLM?,How Do You Solve A Problem Like Maria?,
HEALTHDEV,Health Alternatives for Total Human Development Institute,
H.E.A.T.,Help Eliminate Auto Theft,
HEAT-MP-T,High Explosive Anti-Tank-Multi Purpose - Tracer,
H.E.L.P.,Higher Education for Learning Problems,
HELP ICT,HELP International College of Technology,
HERB-CHF,Hawthorn Extract Randomized Blinded Chronic HF Study,
HERCULES,Heavy Equipment Recovery Combat Utility Lift and Evacuation System,
HERCULES,High Efficiency and Resolution Canterbury University Large Echelle Spectrograph,
H.E.S.S.,High Energy Stereoscopic System,
H.E.S.S.,High Energy Stereoscopic System Project,
H.E.T.A.C.,Higher Education and Training Awards Council,
H&HSL RR,Hibiscus & Heliconia Short Line Railroad,
HIDROVEN,Hidrológica de Venezuela,
HI-PAC DTV,High-Packed Digital Television,
HIPPERTIS,Himpunan Pembina Perguruan Tinggi Swasta,
HIV/AIDS,Human Immunodeficiency Virus/Acquired Immune Deficiency Syndrome,
HKBU-IIBD,Hong Kong Baptist University-Wing Lung Bank International Institute for Business Development,
H.K.H.A.,Hong Kong Harmonica Association,
HKU SPACE,HKU School of Professional and Continuing Education,
HMS CFAR,Harvard Medical School Center for AIDS Research,
HOBY WLC,Hugh O'Brian Youth Foundation World Leadership Congress,
H.O.G.D.,Hermetic Order of the Golden Dawn,
H.O.P.E.,Hackers on Planet Earth,
H.O.R.D.E.,Horizons of Rock Developing Everywhere,
H-O-R-S-E,Horse Pool,
H.O.S.A.,Health Occupations Students of America,
HOSPERSA,Health & Other Services Personnel Trade Union of South Africa,
HPSA-MSS,HP Service Activator Solution for Managed Services,
HPSA-RIPS,HP Service Activator Solution for Residential IP Services,
HPSA-VPN,HP Service Activator Solution for VPN Services,
HQ ARMCEG,Headquarter Army Combat Engineers Group,
HRCBM-DFW,Human Rights Congress for Bangladesh Minorities of Dallas Fort-Worth,
HS-DPCCH,High Speed-Dedicated Physical Control Channel,
H.S.M.P.,Hispanic Small Man Power,
HS-PDSCH,High Speed-Physical Downlink Shared Channel,
HSPH HAI,Harvard School of Public Health AIDS Initiative,
HSS-WINGS,Holy Spirit School Center for Women Interacting for New Growth and Services,
HSWINGLANT,Helicopter Anti-Submarine Wing Atlantic Fleet,
H.T.A.I.,HÜMÜH’s Transcendental Awareness Institute,
H.U.N.E.,Humboldt University Nubian Expedition,
H.U.N.T.,High-risk United Nations Task-force,
HUSERMET,Human Serum Metabolome Project,
IAAL/MAF,International Association of Armed Librarians / Mobile Assault Force,
I.A.D.B.,Inter-American Development Bank,
I.A.D.S.,International Association of Dental Students,
I.A.D.T.,Irish Association of Distributive Trades,
I.A.G.I.,Istituto Araldico Genealogico Italiano,
IAGLCWDC,International Association of Gay/Lesbian Country Western Dance Clubs,
IA IIB-C,Iron Age IIB-C,
I.A.K.S.A,International Amateur Kickboxing Sports Association,
IAP,Islamic Association for Palestine,
IATM–ICOM,International Association of Transport and Communication Museums,
IBM PS/2,IBM Personal System/2,
ICAP III,Improved Capability III Airborne Electronic Attack,
I.D.S.A.,Industrial Design Society of America,
IEEE-1685,IEEE-SA CAG  P1685 SPIRIT XML Standard for IP Description,
IEEE-CAS,IEEE Circuits and Systems Society,
IEEE CASS,IEEE Circuits and Systems Society,
IEEE CIS,IEEE Computational Intelligence Society,
IEEE-ISM,IEEE International Symposium on Multimedia,
IEEE-ISTO,IEEE Industry Standards and Technology Organization,
IEEE-SSCS,IEEE Solid-State Circuits Society,
IEEE-T-MM,IEEE Transactions on Multimedia,
